Title,Genre,Second_Genre,Release_Year,Budget_Category,Revenue_Category,Runtime_Category,Rating_Category,Vote_Count_Category,Popularity_Category,Language,Production_Country,Main_Actor,Director
Nine,Drama,Music,2009.0,Medium,Medium,Medium,Medium,Low,Low,en,Italy,Judi Dench,Rob Marshall
Timeline,Action,Adventure,2003.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Paul Walker,Richard Donner
The Postman,Drama,Adventure,1997.0,Medium,Low,Long,Medium,Low,Medium,en,United States of America,Kevin Costner,Kevin Costner
Babe: Pig in the City,Adventure,Comedy,1998.0,Medium,Medium,Medium,Medium,Low,Medium,en,Australia,James Cromwell,George Miller
The Last Witch Hunter,Fantasy,Action,2015.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Vin Diesel,Breck Eisner
Red Planet,Thriller,Action,2000.0,Medium,Low,Medium,Medium,Low,Medium,en,Australia,Val Kilmer,Antony Hoffman
Arthur and the Invisibles,Adventure,Fantasy,2006.0,Medium,Medium,Medium,Medium,Medium,Medium,en,France,Freddie Highmore,Luc Besson
Oceans,Documentary,Family,2009.0,Low,Low,Short,High,Low,Medium,en,France,Pierce Brosnan,Jacques Perrin
A Sound of Thunder,Thriller,Science Fiction,2005.0,Medium,Low,Medium,Low,Low,Low,en,Czech Republic,Heike Makatsch,Peter Hyams
Pompeii,Action,Adventure,2014.0,High,Medium,Medium,Medium,Medium,High,en,Canada,Kit Harington,Paul W.S. Anderson
Top Cat Begins,Comedy,Animation,2015.0,Low,Low,Short,Medium,Low,Low,es,India,Jason Harris,Andrés Couturier
A Beautiful Mind,Drama,Romance,2001.0,Medium,High,Medium,High,High,High,en,United States of America,Russell Crowe,Ron Howard
The Lion King,Family,Animation,1994.0,Medium,High,Short,High,High,High,en,United States of America,Jonathan Taylor Thomas,Roger Allers
Journey 2: The Mysterious Island,Adventure,Action,2012.0,Medium,High,Medium,Medium,Medium,High,en,United States of America,Dwayne Johnson,Brad Peyton
Cloudy with a Chance of Meatballs 2,Animation,Family,2013.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Bill Hader,Cody Cameron
Red Dragon,Crime,Thriller,2002.0,Medium,Medium,Medium,Medium,Medium,Medium,en,Germany,Anthony Hopkins,Brett Ratner
Hidalgo,Western,Adventure,2004.0,High,Medium,Medium,Medium,Low,Medium,en,United States of America,Viggo Mortensen,Joe Johnston
2 Fast 2 Furious,Action,Crime,2003.0,Medium,Medium,Medium,Medium,High,Medium,en,United States of America,Paul Walker,John Singleton
The Little Prince,Adventure,Animation,2015.0,Medium,Medium,Medium,High,Medium,High,en,France,Jeff Bridges,Mark Osborne
The Invasion,Science Fiction,Thriller,2007.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Nicole Kidman,Oliver Hirschbiegel
The Adventures of Rocky & Bullwinkle,Action,Adventure,2000.0,Medium,Low,Short,Low,Low,Low,en,Germany,Rene Russo,Des McAnuff
The Secret Life of Pets,Animation,Family,2016.0,Medium,High,Short,Medium,High,High,en,United States of America,Louis C.K.,Chris Renaud
The League of Extraordinary Gentlemen,Fantasy,Action,2003.0,Medium,Medium,Medium,Medium,Medium,High,en,Czech Republic,Sean Connery,Stephen Norrington
Despicable Me 2,Animation,Comedy,2013.0,Medium,High,Medium,High,High,High,en,United States of America,Steve Carell,Pierre Coffin
Independence Day,Action,Adventure,1996.0,Medium,High,Long,Medium,High,High,en,United States of America,Will Smith,Roland Emmerich
The Lost World: Jurassic Park,Adventure,Action,1997.0,Medium,Medium,Medium,Medium,High,Low,en,United States of America,Jeff Goldblum,Steven Spielberg
Madagascar,Family,Animation,2005.0,Medium,High,Short,Medium,High,High,en,United States of America,Ben Stiller,Eric Darnell
Children of Men,Drama,Action,2006.0,Medium,Medium,Medium,High,High,High,en,United Kingdom,Clive Owen,Alfonso Cuarón
X-Men,Adventure,Action,2000.0,Medium,Medium,Medium,Medium,High,Low,en,United States of America,Patrick Stewart,Bryan Singer
Wanted,Action,Thriller,2008.0,Medium,Medium,Medium,Medium,High,High,en,Germany,Angelina Jolie,Timur Bekmambetov
The Rock,Action,Adventure,1996.0,Medium,High,Medium,Medium,Medium,High,en,United States of America,Sean Connery,Michael Bay
Ice Age: The Meltdown,Animation,Family,2006.0,Medium,High,Medium,Medium,High,High,en,United States of America,Ray Romano,Carlos Saldanha
50 First Dates,Comedy,Romance,2004.0,Medium,Medium,Medium,Medium,High,High,en,United States of America,Adam Sandler,Peter Segal
Hairspray,Family,Comedy,2007.0,Medium,Medium,Medium,Medium,Medium,High,en,United Kingdom,John Travolta,Adam Shankman
Exorcist: The Beginning,Horror,Mystery,2004.0,Medium,Medium,Medium,Low,Low,Medium,en,United States of America,Stellan Skarsgård,Renny Harlin
Inspector Gadget,Action,Adventure,1999.0,Medium,Low,Short,Low,Low,Medium,en,United States of America,Matthew Broderick,David Kellogg
Now You See Me,Thriller,Crime,2013.0,Medium,Medium,Medium,High,High,High,en,United States of America,Jesse Eisenberg,Louis Leterrier
The Terminal,Comedy,Drama,2004.0,Medium,Medium,Medium,High,Medium,High,en,United States of America,Tom Hanks,Steven Spielberg
Hotel for Dogs,Comedy,Family,2009.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Emma Roberts,Thor Freudenthal
Vertical Limit,Action,Adventure,2000.0,Medium,Medium,Medium,Medium,Low,Medium,en,New Zealand,Chris O'Donnell,Martin Campbell
Charlie Wilson's War,Comedy,Drama,2007.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Tom Hanks,Mike Nichols
Shark Tale,Animation,Action,2004.0,Medium,High,Medium,Medium,Medium,High,en,United States of America,Will Smith,Vicky Jenson
Be Cool,Comedy,Crime,2005.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,John Travolta,F. Gary Gray
Munich,Drama,Action,2005.0,Medium,Medium,Long,Medium,Medium,Medium,en,Canada,Eric Bana,Steven Spielberg
Tears of the Sun,Action,Drama,2003.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Bruce Willis,Antoine Fuqua
Killers,Action,Comedy,2010.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Katherine Heigl,Robert Luketic
The Man from U.N.C.L.E.,Comedy,Action,2015.0,Medium,Medium,Medium,High,High,High,en,United States of America,Henry Cavill,Guy Ritchie
Monster House,Animation,Comedy,2006.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Ryan Newman,Gil Kenan
Bandits,Action,Comedy,2001.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Bruce Willis,Barry Levinson
First Knight,Action,Adventure,1995.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Sean Connery,Jerry Zucker
Anna and the King,Drama,History,1999.0,Medium,Low,Long,Medium,Low,Medium,en,Malaysia,Jodie Foster,Andy Tennant
Immortals,Fantasy,Action,2011.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Mickey Rourke,Tarsem Singh
Hostage,Mystery,Drama,2005.0,Medium,Medium,Medium,Medium,Medium,Medium,en,Germany,Bruce Willis,Florent-Emilio Siri
Titan A.E.,Animation,Action,2000.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Matt Damon,Gary Goldman
Hollywood Homicide,Action,Adventure,2003.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Harrison Ford,Ron Shelton
Soldier,Action,War,1998.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Kurt Russell,Paul W.S. Anderson
Carriers,Action,Drama,2009.0,Low,Low,Short,Medium,Low,Medium,en,United States of America,Lou Taylor Pucci,Àlex Pastor
Monkeybone,Adventure,Fantasy,2001.0,Medium,Low,Medium,Low,Low,Low,en,United States of America,Brendan Fraser,Henry Selick
Flight of the Phoenix,Action,Adventure,2004.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Dennis Quaid,John Moore
Unbreakable,Science Fiction,Thriller,2000.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Bruce Willis,M. Night Shyamalan
Minions,Family,Animation,2015.0,Medium,High,Medium,Medium,High,High,en,United States of America,Sandra Bullock,Kyle Balda
Sucker Punch,Action,Fantasy,2011.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Emily Browning,Zack Snyder
Snake Eyes,Crime,Mystery,1998.0,Medium,Medium,Medium,Medium,Low,Medium,en,Canada,Nicolas Cage,Brian De Palma
The Angry Birds Movie,Family,Animation,2016.0,Medium,High,Medium,Medium,Medium,High,en,Finland,Jason Sudeikis,Fergal Reilly
Fool's Gold,Romance,Comedy,2008.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Matthew McConaughey,Andy Tennant
Funny People,Comedy,Drama,2009.0,Medium,Medium,Long,Medium,Low,Medium,en,United States of America,Adam Sandler,Judd Apatow
The Kingdom,Thriller,Action,2007.0,Medium,Medium,Medium,Medium,Medium,Medium,en,Germany,Jamie Foxx,Peter Berg
Dr. Dolittle 2,Comedy,Family,2001.0,Medium,Medium,Short,Low,Low,Medium,en,United States of America,Eddie Murphy,Steve Carr
Braveheart,Action,Drama,1995.0,Medium,Medium,Long,High,High,High,en,United States of America,Mel Gibson,Mel Gibson
Jarhead,Drama,War,2005.0,Medium,Medium,Medium,Medium,Medium,High,en,Germany,Jamie Foxx,Sam Mendes
The Simpsons Movie,Animation,Comedy,2007.0,Medium,High,Short,Medium,High,High,en,United States of America,Dan Castellaneta,David Silverman
The Majestic,Drama,Romance,2001.0,Medium,Low,Long,Medium,Low,Medium,en,United States of America,Jim Carrey,Frank Darabont
Two Brothers,Adventure,Drama,2004.0,Medium,Medium,Medium,Medium,Low,Low,en,France,Maï Anh Le,Jean-Jacques Annaud
The Village,Drama,Mystery,2004.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Bryce Dallas Howard,M. Night Shyamalan
Doctor Dolittle,Comedy,Family,1998.0,Medium,Medium,Short,Medium,Medium,Medium,en,United States of America,Eddie Murphy,Betty Thomas
Signs,Drama,Thriller,2002.0,Medium,High,Medium,Medium,Medium,Medium,en,United States of America,Mel Gibson,M. Night Shyamalan
Shrek 2,Adventure,Animation,2004.0,High,High,Medium,Medium,High,High,en,United States of America,Mike Myers,Andrew Adamson
Cars,Animation,Adventure,2006.0,High,High,Medium,Medium,High,High,en,United States of America,Owen Wilson,John Lasseter
Runaway Bride,Comedy,Romance,1999.0,Medium,High,Medium,Medium,Low,Medium,en,United States of America,Julia Roberts,Garry Marshall
xXx,Action,Adventure,2002.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Vin Diesel,Rob Cohen
The SpongeBob Movie: Sponge Out of Water,Animation,Adventure,2015.0,Medium,High,Medium,Medium,Medium,High,en,United States of America,Tom Kenny,Paul Tibbitt
Ransom,Action,Thriller,1996.0,Medium,High,Medium,Medium,Low,Medium,en,United States of America,Mel Gibson,Ron Howard
Inglourious Basterds,Drama,Action,2009.0,Medium,High,Long,High,High,High,en,Germany,Brad Pitt,Quentin Tarantino
Hook,Adventure,Fantasy,1991.0,Medium,High,Long,Medium,Medium,High,en,United States of America,Robin Williams,Steven Spielberg
Die Hard 2,Action,Thriller,1990.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Bruce Willis,Renny Harlin
S.W.A.T.,Action,Thriller,2003.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Samuel L. Jackson,Clark Johnson
Vanilla Sky,Drama,Mystery,2001.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Tom Cruise,Cameron Crowe
Lady in the Water,Drama,Thriller,2006.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Paul Giamatti,M. Night Shyamalan
AVP: Alien vs. Predator,Adventure,Science Fiction,2004.0,Medium,Medium,Medium,Medium,Medium,High,en,Canada,Sanaa Lathan,Paul W.S. Anderson
Alvin and the Chipmunks: The Squeakquel,Comedy,Family,2009.0,Medium,High,Short,Medium,Medium,Medium,en,United States of America,Zachary Levi,Betty Thomas
We Were Soldiers,Action,History,2002.0,Medium,Medium,Medium,Medium,Medium,Medium,en,Germany,Mel Gibson,Randall Wallace
Olympus Has Fallen,Action,Thriller,2013.0,Medium,Medium,Medium,Medium,High,High,en,United States of America,Gerard Butler,Antoine Fuqua
Star Trek: Insurrection,Science Fiction,Action,1998.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Patrick Stewart,Jonathan Frakes
Battle: Los Angeles,Action,Science Fiction,2011.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Aaron Eckhart,Jonathan Liebesman
Big Fish,Adventure,Fantasy,2003.0,Medium,Medium,Medium,High,Medium,High,en,United States of America,Ewan McGregor,Tim Burton
War Horse,Drama,War,2011.0,Medium,Medium,Long,High,Medium,Medium,en,United States of America,Tom Hiddleston,Steven Spielberg
The Monuments Men,War,Drama,2014.0,Medium,Medium,Medium,Medium,Medium,High,en,Germany,Matt Damon,George Clooney
The Abyss,Adventure,Action,1989.0,Medium,Medium,Medium,High,Medium,Medium,en,United States of America,Ed Harris,James Cameron
Wall Street: Money Never Sleeps,Drama,Crime,2010.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Michael Douglas,Oliver Stone
Dracula Untold,Horror,Action,2014.0,Medium,Medium,Medium,Medium,High,High,en,United States of America,Luke Evans,Gary Shore
The Siege,Drama,Action,1998.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Denzel Washington,Edward Zwick
Stardust,Adventure,Fantasy,2007.0,Medium,Medium,Medium,High,Medium,High,en,Iceland,Claire Danes,Matthew Vaughn
Seven Years in Tibet,Adventure,Drama,1997.0,Medium,Medium,Medium,High,Medium,Medium,en,United States of America,Brad Pitt,Jean-Jacques Annaud
The Dilemma,Comedy,Drama,2011.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Kevin James,Ron Howard
Bad Company,Action,Adventure,2002.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Anthony Hopkins,Joel Schumacher
Doom,Adventure,Action,2005.0,Medium,Medium,Medium,Medium,Medium,Medium,en,Czech Republic,Dwayne Johnson,Andrzej Bartkowiak
I Spy,Action,Adventure,2002.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Eddie Murphy,Betty Thomas
Underworld: Awakening,Fantasy,Action,2012.0,Medium,Medium,Short,Medium,Medium,High,en,United States of America,Kate Beckinsale,Måns Mårlind
Rock of Ages,Comedy,Drama,2012.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Julianne Hough,Adam Shankman
Hart's War,Drama,War,2002.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Bruce Willis,Gregory Hoblit
Killer Elite,Action,Adventure,2011.0,Medium,Medium,Medium,Medium,Medium,Medium,en,Australia,Jason Statham,Gary McKendry
Rollerball,Action,Science Fiction,2002.0,Low,Low,Medium,Low,Low,Low,en,Germany,Chris Klein,John McTiernan
Ballistic: Ecks vs. Sever,Action,Adventure,2002.0,Medium,Low,Medium,Low,Low,Low,en,Germany,Antonio Banderas,Wych Kaosayananda
Osmosis Jones,Adventure,Animation,2001.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Chris Rock,Bobby Farrelly
Legends of Oz: Dorothy's Return,Animation,Music,2013.0,Medium,Low,Short,Medium,Low,Low,en,India,Lea Michele,Dan St. Pierre
Blackhat,Crime,Drama,2015.0,Medium,Low,Medium,Medium,Medium,High,en,United States of America,Chris Hemsworth,Michael Mann
Sky Captain and the World of Tomorrow,Mystery,Action,2004.0,Medium,Medium,Medium,Medium,Low,Medium,en,United Kingdom,Jude Law,Kerry Conran
Basic Instinct 2,Crime,Mystery,2006.0,Medium,Low,Medium,Low,Low,Medium,en,Germany,Sharon Stone,Michael Caton-Jones
Escape Plan,Action,Thriller,2013.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Sylvester Stallone,Mikael Håfström
The Legend of Hercules,Action,Adventure,2014.0,Medium,Medium,Medium,Low,Medium,Medium,en,United States of America,Kellan Lutz,Renny Harlin
The Sum of All Fears,Thriller,Action,2002.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Ben Affleck,Phil Alden Robinson
The Twilight Saga: Eclipse,Adventure,Fantasy,2010.0,Medium,High,Medium,Medium,High,High,en,United States of America,Kristen Stewart,David Slade
The Score,Action,Crime,2001.0,Medium,Medium,Medium,Medium,Low,Medium,en,Germany,Robert De Niro,Frank Oz
Despicable Me,Animation,Family,2010.0,Medium,High,Medium,High,High,High,en,United States of America,Steve Carell,Pierre Coffin
Money Train,Action,Comedy,1995.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Wesley Snipes,Joseph Ruben
Agora,Adventure,Drama,2009.0,Medium,Low,Medium,Medium,Low,Medium,en,Spain,Rachel Weisz,Alejandro Amenábar
Mystery Men,Adventure,Fantasy,1999.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Ben Stiller,Kinka Usher
The Insider,Drama,Thriller,1999.0,Medium,Medium,Long,High,Low,Medium,en,United States of America,Al Pacino,Michael Mann
The Finest Hours,Action,Drama,2016.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Chris Pine,Craig Gillespie
Body of Lies,Action,Drama,2008.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Leonardo DiCaprio,Ridley Scott
Abraham Lincoln: Vampire Hunter,Action,Fantasy,2012.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Benjamin Walker,Timur Bekmambetov
Entrapment,Romance,Drama,1999.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United Kingdom,Sean Connery,Jon Amiel
The X Files,Mystery,Science Fiction,1998.0,Medium,Medium,Medium,Medium,Low,Medium,en,Canada,David Duchovny,Rob Bowman
The Last Legion,Action,Adventure,2007.0,Medium,Low,Medium,Medium,Low,Medium,en,United Kingdom,Colin Firth,Doug Lefler
Saving Private Ryan,Drama,History,1998.0,Medium,High,Long,High,High,High,en,United States of America,Tom Hanks,Steven Spielberg
Need for Speed,Action,Crime,2014.0,Medium,Medium,Medium,Medium,Medium,High,en,Philippines,Aaron Paul,Scott Waugh
What Women Want,Comedy,Romance,2000.0,Medium,High,Medium,Medium,Medium,High,en,United States of America,Helen Hunt,Nancy Meyers
Ice Age,Animation,Comedy,2002.0,Medium,High,Short,High,High,High,en,United States of America,Ray Romano,Chris Wedge
Dreamcatcher,Drama,Horror,2003.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Morgan Freeman,Lawrence Kasdan
Lincoln,History,Drama,2012.0,Medium,Medium,Long,Medium,Medium,High,en,India,Daniel Day-Lewis,Steven Spielberg
The Matrix,Action,Science Fiction,1999.0,Medium,High,Medium,High,High,High,en,Australia,Keanu Reeves,Lilly Wachowski
The Santa Clause 2,Fantasy,Comedy,2002.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Tim Allen,Michael Lembeck
Les Misérables,Drama,Music,2012.0,Medium,High,Long,High,Medium,High,en,United Kingdom,Hugh Jackman,Tom Hooper
You've Got Mail,Comedy,Romance,1998.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Tom Hanks,Nora Ephron
The Mask of Zorro,Action,Adventure,1998.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Antonio Banderas,Martin Campbell
Due Date,Comedy,Drama,2010.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Robert Downey Jr.,Todd Phillips
Unbroken,Drama,War,2014.0,Medium,Medium,Medium,High,Medium,High,en,United States of America,Jack O'Connell,Angelina Jolie
Space Cowboys,Action,Adventure,2000.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Clint Eastwood,Clint Eastwood
Cliffhanger,Action,Adventure,1993.0,Medium,Medium,Medium,Medium,Medium,Medium,en,France,Sylvester Stallone,Renny Harlin
Broken Arrow,Action,Adventure,1996.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,John Travolta,John Woo
The Kid,Fantasy,Comedy,2000.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Bruce Willis,Jon Turteltaub
World Trade Center,Drama,History,2006.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Nicolas Cage,Oliver Stone
Mona Lisa Smile,Drama,Romance,2003.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Julia Roberts,Mike Newell
Eyes Wide Shut,Mystery,Drama,1999.0,Medium,Medium,Long,High,Medium,Medium,en,United Kingdom,Tom Cruise,Stanley Kubrick
Annie,Comedy,Drama,2014.0,Medium,Medium,Medium,Medium,Low,High,en,United States of America,Quvenzhané Wallis,Will Gluck
Focus,Romance,Comedy,2015.0,Medium,Medium,Medium,Medium,High,High,en,United States of America,Will Smith,Glenn Ficarra
This Means War,Action,Comedy,2012.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Reese Witherspoon,McG
Blade: Trinity,Science Fiction,Action,2004.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Wesley Snipes,David S. Goyer
Red Dawn,Action,Thriller,1984.0,Low,Low,Medium,Medium,Low,Medium,en,United States of America,Patrick Swayze,John Milius
Primary Colors,Comedy,Drama,1998.0,Medium,Low,Long,Medium,Low,Low,en,France,John Travolta,Mike Nichols
Resident Evil: Retribution,Action,Horror,2012.0,Medium,Medium,Medium,Medium,Medium,Low,en,Canada,Milla Jovovich,Paul W.S. Anderson
Death Race,Action,Thriller,2008.0,Medium,Medium,Medium,Medium,Medium,High,en,United Kingdom,Jason Statham,Paul W.S. Anderson
The Long Kiss Goodnight,Crime,Action,1996.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Geena Davis,Renny Harlin
Proof of Life,Action,Adventure,2000.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Meg Ryan,Taylor Hackford
Zathura: A Space Adventure,Family,Fantasy,2005.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Jonah Bobo,Jon Favreau
Hudson Hawk,Action,Adventure,1991.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Bruce Willis,Michael Lehmann
Lucky Numbers,Action,Adventure,2000.0,Medium,Low,Medium,Low,Low,Low,en,France,John Travolta,Nora Ephron
"I, Frankenstein",Horror,Thriller,2014.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Aaron Eckhart,Stuart Beattie
Oliver Twist,Crime,Drama,2005.0,Medium,Low,Medium,Medium,Low,Medium,en,Czech Republic,Barney Clark,Roman Polanski
Elektra,Action,Fantasy,2005.0,Medium,Medium,Medium,Low,Medium,Medium,en,Canada,Jennifer Garner,Rob Bowman
Sin City: A Dame to Kill For,Crime,Thriller,2014.0,Medium,Low,Medium,Medium,Medium,High,en,United States of America,Mickey Rourke,Robert Rodriguez
Random Hearts,Drama,Romance,1999.0,Medium,Medium,Medium,Medium,Low,Low,en,United States of America,Harrison Ford,Sydney Pollack
Everest,Adventure,Drama,2015.0,Medium,Medium,Medium,Medium,Medium,High,en,Iceland,Jason Clarke,Baltasar Kormákur
Perfume: The Story of a Murderer,Crime,Fantasy,2006.0,Medium,Medium,Long,High,Medium,High,en,Spain,Ben Whishaw,Tom Tykwer
Austin Powers in Goldmember,Comedy,Crime,2002.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Mike Myers,Jay Roach
Astro Boy,Animation,Action,2009.0,Medium,Low,Medium,Medium,Low,Medium,en,Hong Kong,Nicolas Cage,David Bowers
Jurassic Park,Adventure,Science Fiction,1993.0,Medium,High,Medium,High,High,High,en,United States of America,Sam Neill,Steven Spielberg
Wyatt Earp,Drama,Action,1994.0,Medium,Low,Long,Medium,Low,Medium,en,United States of America,Kevin Costner,Lawrence Kasdan
Clear and Present Danger,Action,Drama,1994.0,Medium,Medium,Long,Medium,Low,Medium,en,United States of America,Harrison Ford,Phillip Noyce
Dragon Blade,Action,Drama,2015.0,Medium,Medium,Medium,Medium,Low,Low,zh,Hong Kong,Jackie Chan,Daniel Lee
Little Man,Comedy,Crime,2006.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Marlon Wayans,Keenen Ivory Wayans
U-571,Action,Drama,2000.0,Medium,Medium,Medium,Medium,Low,Medium,en,France,Matthew McConaughey,Jonathan Mostow
The American President,Comedy,Drama,1995.0,Medium,Medium,Medium,Medium,Low,Medium,en,United States of America,Michael Douglas,Rob Reiner
The Love Guru,Comedy,Romance,2008.0,Medium,Low,Short,Low,Low,Medium,en,United States of America,Mike Myers,Marco Schnabel
3000 Miles to Graceland,Action,Adventure,2001.0,Medium,Low,Medium,Medium,Low,Medium,en,United States of America,Kurt Russell,Demian Lichtenstein
The Hateful Eight,Crime,Drama,2015.0,Medium,Medium,Long,High,High,High,en,United States of America,Samuel L. Jackson,Quentin Tarantino
Blades of Glory,Action,Comedy,2007.0,Medium,Low,Medium,Medium,Medium,Medium,en,United States of America,Will Ferrell,Josh Gordon
Hop,Animation,Comedy,2011.0,Medium,Medium,Medium,Medium,Low,Medium,en,United Kingdom,Russell Brand,Tim Hill
300,Action,Adventure,2006.0,Medium,High,Medium,High,High,High,en,United States of America,Gerard Butler,Zack Snyder
Meet the Fockers,Comedy,Romance,2004.0,Medium,High,Medium,Medium,Medium,High,en,United States of America,Ben Stiller,Jay Roach
Marley & Me,Comedy,Family,2008.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Owen Wilson,David Frankel
The Green Mile,Fantasy,Drama,1999.0,Medium,Medium,Long,High,High,High,en,United States of America,Tom Hanks,Frank Darabont
Wild Hogs,Action,Adventure,2007.0,Low,Medium,Medium,Medium,Medium,High,en,United States of America,Tim Allen,Walt Becker
Chicken Little,Animation,Family,2005.0,High,High,Short,Medium,Medium,High,en,United States of America,Zach Braff,Mark Dindal
Gone Girl,Mystery,Thriller,2014.0,Medium,High,Long,High,High,High,en,United States of America,Ben Affleck,David Fincher
The Bourne Identity,Action,Drama,2002.0,Medium,Medium,Medium,High,High,High,en,United States of America,Matt Damon,Doug Liman
GoldenEye,Adventure,Action,1995.0,Medium,High,Medium,Medium,Medium,High,en,United Kingdom,Pierce Brosnan,Martin Campbell
The General's Daughter,Crime,Drama,1999.0,Medium,Medium,Medium,Medium,Low,Medium,en,Germany,John Travolta,Simon West
The Truman Show,Comedy,Drama,1998.0,Medium,Medium,Medium,High,High,High,en,United States of America,Jim Carrey,Peter Weir
The Prince of Egypt,Adventure,Animation,1998.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Val Kilmer,Simon Wells
Daddy Day Care,Comedy,Family,2003.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Eddie Murphy,Steve Carr
2 Guns,Action,Comedy,2013.0,Medium,Medium,Medium,Medium,Medium,High,en,United States of America,Denzel Washington,Baltasar Kormákur
Cats & Dogs,Comedy,Family,2001.0,Medium,Medium,Short,Medium,Low,Medium,en,United States of America,Jeff Goldblum,Lawrence Guterman
The Italian Job,Action,Crime,2003.0,Medium,Medium,Medium,Medium,Medium,High,en,United Kingdom,Mark Wahlberg,F. Gary Gray
Two Weeks Notice,Romance,Comedy,2002.0,Medium,Medium,Medium,Medium,Low,Medium,en,Australia,Sandra Bullock,Marc Lawrence
Antz,Adventure,Animation,1998.0,Medium,Medium,Short,Medium,Medium,High,en,United States of America,Woody Allen,Eric Darnell
Couples Retreat,Comedy,Romance,2009.0,Medium,Medium,Medium,Medium,Medium,Medium,en,United States of America,Vince Vaughn,Peter Billingsley
The Family Man,Comedy,Drama,2000.0,Medium,Low,Medium,Medium,Medium,Medium,en,United States of America,Nicolas Cage,Brett Ratner
RED,Action,Adventure,2010.0,Medium,Medium,Medium,Medium,High,High,en,United States of America,Bruce Willis,Robert Schwentke
